Chromosome	Start	End	Closest Gene	Locaiton	Distance To Gene's TSS
Chr2	17585112	17585860	AT2G42200	Gene_Upstream	-1921
Chr2	11959996	11960292	AT2G28080	Gene_Downstream	427
Chr2	19255236	19255850	AT2G46860	Gene_Downstream	268
Chr2	3314427	3314665	AT2G07687	Gene_Upstream	-1895
Chr2	589688	589999	AT2G02230	Gene_Downstream	378
Chr2	655195	655468	AT2G02470	Gene_Downstream	416
Chr2	7995362	7995774	AT2G18420	Gene_Downstream	1014
Chr2	18615467	18616181	AT2G45150	Gene_Downstream	107
Chr2	1188407	1189083	AT2G03890	Gene_Downstream	200
Chr2	18891572	18891980	AT2G45910	Gene_Upstream	-2298
Chr2	15959841	15959916	AT2G38110	Gene_Upstream	-4384
Chr2	15284105	15284489	AT2G36420	Gene_Upstream	-2201
Chr2	4415828	4416277	AT2G11200	Gene_Upstream	-35872
Chr2	18426125	18426417	AT2G44670	Gene_Downstream	211
Chr2	16646034	16646174	AT2G39870	Gene_Downstream	727
Chr2	15088085	15088433	AT2G35930	Gene_Upstream	-3786
Chr2	131061	131511	AT2G01240	Gene_Upstream	-2030
Chr2	12897839	12897981	AT2G30230	Gene_Downstream	25
Chr2	17839209	17839459	AT2G42870	Gene_Upstream	-2084
Chr2	15632741	15633236	AT2G37220	Gene_Downstream	1537
Chr2	17906099	17906484	AT2G43060	Gene_Upstream	-2894
Chr2	16517146	16517331	AT2G39590	Gene_Downstream	350
Chr2	13739017	13739461	AT2G32370	Gene_Upstream	-1639
Chr2	13768945	13769239	AT2G32430	Gene_Upstream	-2204
Chr2	8179015	8179348	AT2G18890	Gene_Upstream	-4709
Chr2	14118847	14119399	AT2G33320	Gene_Downstream	403
Chr2	16051216	16051318	AT2G38310	Gene_Downstream	99
Chr2	7240028	7240310	AT2G16700	Gene_Upstream	-4439
Chr2	6392658	6393378	AT2G14870	Gene_Downstream	1541
Chr2	19163666	19163969	AT2G46670	Gene_Downstream	597
Chr2	12026483	12026590	AT2G28200	Gene_Downstream	1230
Chr2	12123232	12123784	AT2G28355	Gene_Downstream	3229
Chr2	10165784	10165854	AT2G23890	Gene_Upstream	-4782
Chr2	2034260	2034622	AT2G05540	Gene_Downstream	224
Chr2	12310466	12310801	AT2G28690	Gene_Upstream	-2005
Chr2	12017241	12018249	AT2G28190	Gene_Downstream	1176
Chr2	14335984	14336086	AT2G33870	Gene_Downstream	1331
Chr2	18045587	18045980	AT2G43450	Gene_Upstream	-1558
Chr2	18472966	18473178	AT2G44810	Gene_Upstream	-5981
Chr2	9561066	9561204	AT2G22500	Gene_Downstream	2089
Chr2	6546896	6547074	AT2G15090	Gene_Downstream	3038
Chr2	16653177	16653433	AT2G39890	Gene_Upstream	-2323
Chr2	8552540	8552853	AT2G19820	Gene_Downstream	847
Chr2	9784154	9784907	AT2G22990	Gene_Upstream	-1786
Chr2	19374518	19374712	AT2G47190	Gene_Upstream	-1587
Chr2	19502101	19502561	AT2G47520	Gene_Downstream	471
Chr2	19031647	19032266	AT2G46370	Gene_Upstream	-1785
Chr2	6799029	6799545	AT2G15580	Gene_Downstream	348
Chr2	8101975	8102467	AT2G18690	Gene_Downstream	3394
Chr2	16842918	16843362	AT2G40330	Gene_Downstream	1724
Chr2	9922009	9922283	AT2G23320	Gene_Upstream	-2787
Chr2	9561575	9562094	AT2G22500	Gene_Downstream	1390
Chr2	8852860	8853264	AT2G20562	Gene_Upstream	-2133
Chr2	16361799	16362198	AT2G39200	Gene_Upstream	-2185
Chr2	6693493	6693676	AT2G15360	Gene_Downstream	1203
Chr2	12328838	12329415	AT2G28725	Gene_Downstream	183
Chr2	11908452	11908871	AT2G27960	Gene_Downstream	2062
Chr2	15785751	15786005	AT2G37630	Gene_Upstream	-2445
Chr2	9688475	9689048	AT2G22780	Gene_Downstream	654
Chr2	10130001	10130334	AT2G23800	Gene_Downstream	1322
Chr2	10944897	10945581	AT2G25697	Gene_Upstream	-1857
Chr2	464198	464570	AT2G01990	Gene_Downstream	617
Chr2	7597110	7597633	AT2G17480	Gene_Upstream	-3281
Chr2	304347	304749	AT2G01680	Gene_Upstream	-1837
Chr2	8388718	8389022	AT2G19385	Gene_Downstream	158
Chr2	16086104	16086641	AT2G38400	Gene_Downstream	23
Chr2	19100507	19101353	AT2G46530	Gene_Upstream	-3735
Chr2	17745212	17745539	AT2G42610	Gene_Upstream	-2542
Chr2	16807919	16808330	AT2G40233	Gene_Downstream	916
Chr2	8918163	8918369	AT2G20680	Gene_Upstream	-2201
Chr2	18578635	18579369	AT2G45040	Gene_Downstream	88
Chr2	4005909	4006484	AT2G10440	Gene_Downstream	7556
Chr2	15989439	15989597	AT2G38160	Gene_Upstream	-859
Chr2	17835609	17835998	AT2G42870	Gene_Downstream	613
Chr2	17007387	17007551	AT2G40745	Gene_Downstream	705
Chr2	10115442	10115845	AT2G23760	Gene_Upstream	-2430
Chr2	9926792	9927157	AT2G23321	Gene_Downstream	456
Chr2	9562682	9563126	AT2G22500	Gene_Downstream	320
Chr2	9568215	9568993	AT2G22510	Gene_Downstream	422
Chr2	15275053	15275371	AT2G36400	Gene_Upstream	-2389
Chr2	18368307	18368540	AT2G44490	Gene_Downstream	698
Chr2	9028754	9029301	AT2G21045	Gene_Downstream	7
Chr2	357094	357391	AT2G01818	Gene_Upstream	-1720
Chr2	18174969	18175358	AT2G43890	Gene_Upstream	-1761
Chr2	9909259	9909848	AT2G23290	Gene_Upstream	-3633
Chr2	510285	510677	AT2G02070	Gene_Downstream	1056
Chr2	11829136	11829504	AT2G27760	Gene_Downstream	1729
Chr2	17410516	17410718	AT2G41730	Gene_Downstream	680
Chr2	8450764	8450926	AT2G19510	Gene_Upstream	-2374
Chr2	15713934	15714192	AT2G37440	Gene_Upstream	-3990
Chr2	9615349	9615658	AT2G22630	Gene_Upstream	-2869
Chr2	8471410	8471953	AT2G19570	Gene_Upstream	-37
Chr2	302652	302961	AT2G01680	Gene_Upstream	-3579
Chr2	15081722	15082213	AT2G35930	Gene_Downstream	888
Chr2	16759430	16759842	AT2G40120	Gene_Upstream	-2044
Chr2	12997214	12998038	AT2G30490	Gene_Upstream	-1856
Chr2	17218884	17219420	AT2G41310	Gene_Upstream	-2781
Chr2	2285040	2285288	AT2G05940	Gene_Downstream	2074
Chr2	17242636	17243041	AT2G41370	Gene_Upstream	-2398
Chr2	14488519	14488770	AT2G34340	Gene_Downstream	142
Chr2	9430563	9430996	AT2G22180	Gene_Downstream	935
Chr2	1968193	1968338	AT2G05380	Gene_Downstream	228
Chr2	19188498	19188782	AT2G46700	Gene_Upstream	-2062
Chr2	14887926	14889228	AT2G35360	Gene_Downstream	471
Chr2	19051564	19052523	AT2G46420	Gene_Upstream	-1643
Chr2	10754572	10755205	AT2G25250	Gene_Downstream	175
Chr2	18534341	18534606	AT2G44930	Gene_Upstream	-2721
Chr2	753989	754205	AT2G02700	Gene_Upstream	-2346
Chr2	8013446	8013749	AT2G18480	Gene_Upstream	-2342
Chr2	12987583	12987753	AT2G30470	Gene_Upstream	-2625
Chr2	8352667	8353496	AT2G19240	Gene_Upstream	-519
Chr2	7254415	7254648	AT2G16720	Gene_Downstream	998
Chr2	126528	127008	AT2G01240	Gene_Downstream	1672
Chr2	13231155	13231452	AT2G31081	Gene_Upstream	-6744
Chr2	12412443	12412817	AT2G28900	Gene_Downstream	1484
Chr2	11949836	11950089	AT2G28060	Gene_Downstream	24
Chr2	16586789	16587314	AT2G39770	Gene_Upstream	-1645
Chr2	16565443	16565722	AT2G39710	Gene_Upstream	-2202
Chr2	351390	351569	AT2G01810	Gene_Downstream	1300
Chr2	14646754	14646994	AT2G34710	Gene_Upstream	-2601
Chr2	17477277	17477908	AT2G41890	Gene_Downstream	466
Chr2	9983083	9983250	AT2G23440	Gene_Downstream	3347
Chr2	11899046	11899210	AT2G27940	Gene_Downstream	261
Chr2	19557443	19558307	AT2G47720	Gene_Downstream	736
Chr2	8542186	8542461	AT2G19802	Gene_Upstream	-3106
Chr2	193267	193743	AT2G01430	Gene_Upstream	-3136
Chr2	7596335	7596388	AT2G17480	Gene_Upstream	-2271
Chr2	5018719	5018874	AT2G12405	Gene_Upstream	-7206
Chr2	9110207	9110343	AT2G21280	Gene_Downstream	38
Chr2	1112141	1112655	AT2G03667	Gene_Upstream	-1729
Chr2	10441268	10441558	AT2G24570	Gene_Upstream	-2115
Chr2	17250315	17250471	AT2G41380	Gene_Upstream	-1548
Chr2	2921388	2921579	AT2G07050	Gene_Upstream	-2964
Chr2	7580286	7580475	AT2G17450	Gene_Upstream	-3080
Chr2	11858440	11858655	AT2G27830	Gene_Upstream	-1671
Chr2	1680596	1680781	AT2G04790	Gene_Downstream	145
Chr2	12817546	12817822	AT2G30032	Gene_Downstream	1845
Chr2	10534577	10534853	AT2G24740	Gene_Upstream	-2758
Chr2	15377089	15377475	AT2G36690	Gene_Upstream	-2412
Chr2	9675655	9676347	AT2G22760	Gene_Upstream	-1879
Chr2	1147649	1147795	AT2G03750	Gene_Downstream	85
Chr2	18234328	18234985	AT2G44070	Gene_Upstream	-2163
Chr2	15253068	15253605	AT2G36380	Gene_Upstream	-4247
Chr2	110918	111229	AT2G01180	Gene_Upstream	-2270
Chr2	9796374	9796548	AT2G23010	Gene_Upstream	-2382
Chr2	15189501	15190370	AT2G36220	Gene_Upstream	-2545
Chr2	1788203	1788832	AT2G05050	Gene_Upstream	-5518
Chr2	2027238	2027509	AT2G05520	Gene_Downstream	256
Chr2	15372917	15373318	AT2G36680	Gene_Upstream	-2271
Chr2	4141593	4141794	AT2G10608	Gene_Downstream	3805
Chr2	7053453	7053789	AT2G16280	Gene_Downstream	724
Chr2	11509525	11509699	AT2G26960	Gene_Upstream	-2186
Chr2	8585508	8585684	AT2G19890	Gene_Upstream	-1648
Chr2	9523058	9523339	AT2G22430	Gene_Downstream	2897
Chr2	12506265	12506562	AT2G29100	Gene_Upstream	-1501
Chr2	13911526	13911914	AT2G32800	Gene_Upstream	-4732
Chr2	9457558	9457750	AT2G22250	Gene_Downstream	156
Chr2	11643988	11644414	AT2G27220	Gene_Upstream	-4664
Chr2	7596614	7596911	AT2G17480	Gene_Upstream	-2672
Chr2	19559615	19559791	AT2G47720	Gene_Downstream	2564
Chr2	18680204	18680492	AT2G45310	Gene_Upstream	-1733
Chr2	7973569	7973738	AT2G18350	Gene_Upstream	-1572
Chr2	16639562	16640014	AT2G39855	Gene_Downstream	480
Chr2	17690796	17690862	AT2G42480	Gene_Upstream	-901
Chr2	15961282	15961619	AT2G38110	Gene_Upstream	-5956
Chr2	15960379	15961126	AT2G38110	Gene_Upstream	-5258
Chr2	4077436	4077609	AT2G10535	Gene_Upstream	-5329
Chr2	11358930	11359589	AT2G26695	Gene_Upstream	-5839
Chr2	15961802	15962312	AT2G38110	Gene_Upstream	-6563
Chr2	11357652	11358080	AT2G26690	Gene_Upstream	-6873
Chr2	11359749	11359884	AT2G26695	Gene_Upstream	-5282
Chr2	13246876	13247401	AT2G31083	Gene_Upstream	-5081
Chr2	8215845	8216420	AT2G18960	Gene_Upstream	-5499
Chr2	8215248	8215776	AT2G18960	Gene_Upstream	-6119
Chr2	15962565	15963026	AT2G38110	Gene_Upstream	-7301
Chr3	17999284	17999628	AT3G48560	Gene_Downstream	1856
Chr3	6160984	6161052	AT3G18010	Gene_Downstream	119
Chr3	8546050	8546288	AT3G23727	Gene_Downstream	814
Chr3	11806994	11807074	AT3G30180	Gene_Upstream	-3703
Chr3	16552459	16552572	AT3G45200	Gene_Upstream	-2785
Chr3	10019189	10019258	AT3G27160	Gene_Downstream	133
Chr3	11481745	11481873	AT3G29639	Gene_Upstream	-2060
Chr3	4580173	4580449	AT3G13890	Gene_Upstream	-2284
Chr3	10360810	10361275	AT3G27920	Gene_Downstream	903
Chr3	164697	164835	AT3G01430	Gene_Downstream	642
Chr3	19192427	19192575	AT3G51740	Gene_Downstream	450
Chr3	9783666	9783832	AT3G26616	Gene_Downstream	3825
Chr3	20750185	20750378	AT3G55940	Gene_Downstream	97
Chr3	4139609	4139829	AT3G12970	Gene_Downstream	1332
Chr3	2882496	2882561	AT3G09370	Gene_Downstream	261
Chr3	19477343	19477449	AT3G52525	Gene_Downstream	1435
Chr3	4827739	4827798	AT3G14431	Gene_Downstream	2411
Chr3	20299337	20299415	AT3G54820	Gene_Upstream	-2645
Chr3	7174091	7174319	AT3G20550	Gene_Downstream	259
Chr3	6358384	6358464	AT3G18518	Gene_Upstream	-1711
Chr3	16554508	16554727	AT3G45210	Gene_Downstream	2656
Chr3	22748434	22748491	AT3G61480	Gene_Upstream	-1522
Chr3	1250214	1250265	AT3G04610	Gene_Downstream	314
Chr3	21368630	21368694	AT3G57670	Gene_Upstream	-2241
Chr3	6065729	6065935	AT3G17730	Gene_Downstream	19
Chr3	5486682	5486758	AT3G16180	Gene_Upstream	-1626
Chr3	19621665	19621816	AT3G52920	Gene_Upstream	-2603
Chr3	6619991	6620084	AT3G19150	Gene_Upstream	-2341
Chr3	21145327	21145461	AT3G57130	Gene_Upstream	-2164
Chr3	15343718	15343798	AT3G43420	Gene_Upstream	-1557
Chr3	3046405	3046477	AT3G09920	Gene_Upstream	-1522
Chr3	1849235	1849280	AT3G06120	Gene_Downstream	1027
Chr3	8688407	8688620	AT3G24060	Gene_Downstream	1076
Chr3	16242076	16242114	AT3G44704	Gene_Downstream	2098
Chr3	8462877	8463017	AT3G23580	Gene_Downstream	132
Chr3	23322565	23322665	AT3G63120	Gene_Downstream	341
Chr3	20609607	20609713	AT3G55566	Gene_Downstream	820
Chr3	4624088	4624200	AT3G13980	Gene_Upstream	-3882
Chr3	10917139	10917237	AT3G28910	Gene_Downstream	3998
Chr3	5886988	5887032	AT3G17225	Gene_Upstream	-2079
Chr3	22994143	22994348	AT3G62097	Gene_Downstream	26
Chr3	6673346	6673712	AT3G19260	Gene_Upstream	-2010
Chr3	10062956	10063094	AT3G27250	Gene_Downstream	294
Chr3	21028651	21028824	AT3G56770	Gene_Downstream	465
Chr3	18707470	18707704	AT3G50410	Gene_Upstream	-2161
Chr3	17156263	17156428	AT3G46600	Gene_Upstream	-1579
Chr3	20583854	20583947	AT3G55510	Gene_Downstream	1495
Chr3	10380049	10380254	AT3G27950	Gene_Downstream	255
Chr3	9761350	9761455	AT3G26580	Gene_Downstream	858
Chr3	3475702	3476015	AT3G11090	Gene_Downstream	254
Chr3	8329998	8330076	AT3G23300	Gene_Upstream	-2988
Chr3	16800517	16800688	AT3G45750	Gene_Upstream	-2655
Chr3	7670166	7670236	AT3G21770	Gene_Upstream	-3075
Chr3	2341227	2341248	AT3G07330	Gene_Upstream	-2137
Chr3	3071903	3072054	AT3G09980	Gene_Downstream	549
Chr3	1816338	1816409	AT3G06020	Gene_Downstream	2204
Chr3	17996136	17996215	AT3G48550	Gene_Downstream	1441
Chr3	15082603	15082878	AT3G43083	Gene_Upstream	-5519
Chr3	7712794	7713024	AT3G21900	Gene_Upstream	-2484
Chr3	20107675	20108033	AT3G54290	Gene_Upstream	-1810
Chr3	8464936	8465102	AT3G23590	Gene_Upstream	-2430
Chr3	10859407	10859562	AT3G28857	Gene_Upstream	-2860
Chr3	22546882	22547252	AT3G60966	Gene_Upstream	-5553
Chr3	6437847	6438068	AT3G18710	Gene_Upstream	-2396
Chr3	19932896	19932926	AT3G53800	Gene_Downstream	19
Chr3	21765801	21766170	AT3G58860	Gene_Upstream	-679
Chr3	18166084	18166475	AT3G49010	Gene_Downstream	490
Chr3	18656309	18656512	AT3G50320	Gene_Upstream	-1693
Chr3	18958154	18958314	AT3G51050	Gene_Downstream	278
Chr3	8710543	8710716	AT3G24120	Gene_Upstream	-2314
Chr3	17390957	17391160	AT3G47220	Gene_Downstream	296
Chr3	2756732	2757073	AT3G09032	Gene_Downstream	533
Chr3	10346294	10346370	AT3G27890	Gene_Downstream	4324
Chr3	6783246	6783498	AT3G19540	Gene_Downstream	206
Chr3	9130286	9130412	AT3G25060	Gene_Downstream	28
Chr3	9485537	9485629	AT3G25905	Gene_Downstream	585
Chr3	15168208	15168669	AT3G43160	Gene_Downstream	213
Chr3	10413186	10413443	AT3G28007	Gene_Upstream	-3569
Chr3	18064534	18064816	AT3G48750	Gene_Upstream	-6861
Chr3	1809427	1809515	AT3G06010	Gene_Upstream	-1993
Chr3	9010775	9010959	AT3G24670	Gene_Upstream	-2066
Chr3	4078034	4078198	AT3G12830	Gene_Downstream	535
Chr3	8128231	8128497	AT3G22930	Gene_Upstream	-2433
Chr3	7810297	7810488	AT3G22142	Gene_Upstream	-2346
Chr3	3122949	3123285	AT3G10116	Gene_Upstream	-2906
Chr3	18960355	18960959	AT3G51057	Gene_Downstream	2136
Chr3	5221999	5222279	AT3G15470	Gene_Upstream	-1921
Chr3	3913268	3913483	AT3G12270	Gene_Downstream	46
Chr3	10967604	10967728	AT3G28940	Gene_Downstream	434
Chr3	10917434	10917799	AT3G28910	Gene_Downstream	4426
Chr3	2760351	2760647	AT3G09035	Gene_Downstream	152
Chr3	8189868	8190089	AT3G23040	Gene_Downstream	3088
Chr3	3523973	3524119	AT3G11250	Gene_Downstream	1045
Chr3	5422331	5422604	AT3G15980	Gene_Upstream	-3926
Chr3	21696116	21696306	AT3G58640	Gene_Upstream	-2370
Chr3	22457071	22457346	AT3G60760	Gene_Downstream	1408
Chr3	19237487	19237623	AT3G51860	Gene_Upstream	-1872
Chr3	3675186	3675336	AT3G11640	Gene_Downstream	63
Chr3	19892543	19892628	AT3G53668	Gene_Downstream	181
Chr3	7708902	7709151	AT3G21890	Gene_Downstream	87
Chr3	17049153	17049302	AT3G46370	Gene_Upstream	-2728
Chr3	18246122	18246308	AT3G49220	Gene_Upstream	-3561
Chr3	3507917	3507967	AT3G11200	Gene_Downstream	100
Chr3	21617761	21617839	AT3G58430	Gene_Upstream	-1617
Chr3	20304123	20304233	AT3G54820	Gene_Downstream	168
Chr3	10122913	10123041	AT3G27340	Gene_Downstream	26
Chr3	15799646	15799730	AT3G44010	Gene_Downstream	243
Chr3	10926709	10926816	AT3G28917	Gene_Downstream	1122
Chr3	17064911	17064958	AT3G46380	Gene_Upstream	-5038
Chr3	23369601	23370123	AT3G63240	Gene_Upstream	-2270
Chr3	8867314	8867515	AT3G24420	Gene_Upstream	-2500
Chr3	8239546	8239609	AT3G23130	Gene_Upstream	-2725
Chr3	20721374	20721768	AT3G55840	Gene_Upstream	-2705
Chr3	23369113	23369148	AT3G63240	Gene_Upstream	-1538
Chr3	9702578	9702699	AT3G26490	Gene_Upstream	-1504
Chr3	5834797	5834981	AT3G17100	Gene_Downstream	2470
Chr3	8148465	8148503	AT3G22970	Gene_Upstream	-3554
Chr3	16976127	16976518	AT3G46206	Gene_Upstream	-1557
Chr3	22293093	22293299	AT3G60318	Gene_Downstream	1459
Chr3	10858570	10858601	AT3G28857	Gene_Upstream	-1961
Chr3	1483148	1483470	AT3G05210	Gene_Downstream	1267
Chr3	18020402	18020467	AT3G48630	Gene_Upstream	-1626
Chr3	18833744	18833811	AT3G50682	Gene_Downstream	191
Chr3	21295400	21295587	AT3G57520	Gene_Upstream	-2335
Chr3	5707060	5707104	AT3G16770	Gene_Downstream	59
Chr3	8083346	8083476	AT3G22840	Gene_Downstream	1036
Chr3	18662774	18662838	AT3G50337	Gene_Downstream	262
Chr3	21892028	21892384	AT3G59220	Gene_Upstream	-1928
Chr3	17254091	17254169	AT3G46850	Gene_Upstream	-2208
Chr3	8238644	8238861	AT3G23130	Gene_Upstream	-3550
Chr3	19436339	19436611	AT3G52440	Gene_Downstream	285
Chr3	11021369	11021577	AT3G29033	Gene_Upstream	-2534
Chr3	19260601	19260766	AT3G51910	Gene_Upstream	-4611
Chr3	11122797	11122961	AT3G29152	Gene_Upstream	-8388
Chr3	6945255	6945560	AT3G19950	Gene_Downstream	183
Chr3	20771445	20771634	AT3G55970	Gene_Upstream	-2215
Chr3	6883844	6884035	AT3G19820	Gene_Upstream	-1624
Chr3	8465574	8465651	AT3G23590	Gene_Upstream	-1837
Chr3	11554733	11554902	AT3G29720	Gene_Upstream	-3448
Chr3	11624974	11625032	AT3G29785	Gene_Upstream	-12317
Chr3	16409965	16410070	AT3G44935	Gene_Downstream	407
Chr3	3655712	3655899	AT3G11580	Gene_Upstream	-4473
Chr3	16541433	16541718	AT3G45180	Gene_Upstream	-2363
Chr3	8866343	8866502	AT3G24420	Gene_Upstream	-1508
Chr3	3653879	3653913	AT3G11580	Gene_Upstream	-2564
Chr3	18907880	18908142	AT3G50870	Gene_Upstream	-2979
Chr3	17843719	17843904	AT3G48208	Gene_Upstream	-2262
Chr3	15233719	15233863	AT3G43291	Gene_Upstream	-2350
Chr3	2888224	2888329	AT3G09390	Gene_Downstream	1210
Chr3	2775858	2775989	AT3G09070	Gene_Upstream	-4749
Chr3	15370029	15370253	AT3G43440	Gene_Downstream	82
Chr3	5487432	5487670	AT3G16180	Gene_Upstream	-2457
Chr3	7599495	7599543	AT3G21570	Gene_Downstream	631
Chr3	5834290	5834481	AT3G17100	Gene_Downstream	1966
Chr3	6786490	6786597	AT3G19550	Gene_Downstream	698
Chr3	7138206	7138290	AT3G20470	Gene_Downstream	2192
Chr3	17973271	17973419	AT3G48520	Gene_Downstream	1632
Chr3	8868361	8868582	AT3G24420	Gene_Upstream	-3557
Chr3	2846668	2846739	AT3G09270	Gene_Downstream	1586
Chr3	8770712	8770962	AT3G24225	Gene_Downstream	1665
Chr3	16148875	16148921	AT3G44560	Gene_Upstream	-2238
Chr3	10843737	10843838	AT3G28850	Gene_Upstream	-4882
Chr3	1579207	1579453	AT3G05460	Gene_Downstream	596
Chr3	23418698	23418951	AT3G63430	Gene_Upstream	-1542
Chr3	10502737	10502822	AT3G28180	Gene_Upstream	-3050
Chr3	22579393	22579462	AT3G61010	Gene_Upstream	-4172
Chr3	3283325	3283838	AT3G10526	Gene_Downstream	944
Chr3	6357743	6357947	AT3G18510	Gene_Downstream	1692
Chr3	15615126	15615282	AT3G43720	Gene_Downstream	182
Chr3	6108424	6109019	AT3G17845	Gene_Downstream	482
Chr3	7289857	7290080	AT3G20830	Gene_Upstream	-3708
Chr3	6237577	6237772	AT3G18200	Gene_Upstream	-1583
Chr3	5231289	5231374	AT3G15490	Gene_Downstream	685
Chr3	6356548	6356747	AT3G18510	Gene_Downstream	494
Chr3	20759262	20759384	AT3G55950	Gene_Upstream	-2928
Chr3	20582523	20582619	AT3G55510	Gene_Downstream	166
Chr3	17048679	17048745	AT3G46370	Gene_Upstream	-3243
Chr3	22547329	22547373	AT3G60966	Gene_Upstream	-5269
Chr3	22204342	22204459	AT3G60120	Gene_Upstream	-1547
Chr3	6533202	6533366	AT3G18950	Gene_Upstream	-3431
Chr3	4458329	4458528	AT3G13630	Gene_Downstream	294
Chr3	2000438	2000553	AT3G06490	Gene_Upstream	-2898
Chr3	19476527	19476633	AT3G52525	Gene_Downstream	619
Chr3	1065051	1065178	AT3G04070	Gene_Upstream	-2011
Chr3	9365221	9365326	AT3G25710	Gene_Upstream	-4246
Chr3	3675494	3675651	AT3G11640	Gene_Downstream	374
Chr3	5256976	5257001	AT3G15534	Gene_Upstream	-1888
Chr3	5247133	5247198	AT3G15518	Gene_Upstream	-1947
Chr3	8613323	8613391	AT3G23850	Gene_Upstream	-2207
Chr3	22949658	22949773	AT3G61970	Gene_Upstream	-1748
Chr3	11624854	11624953	AT3G29785	Gene_Upstream	-12217
Chr3	18797072	18797142	AT3G50630	Gene_Upstream	-3273
Chr3	539425	539597	AT3G02550	Gene_Upstream	-1513
Chr3	5863428	5863501	AT3G17190	Gene_Upstream	-3928
Chr3	6246224	6246307	AT3G18220	Gene_Upstream	-1649
Chr3	18796753	18796944	AT3G50630	Gene_Upstream	-3532
Chr3	11402062	11402101	AT3G29590	Gene_Upstream	-1815
Chr3	5871013	5871081	AT3G17205	Gene_Upstream	-2206
Chr3	6441772	6441942	AT3G18715	Gene_Downstream	509
Chr3	19261941	19262413	AT3G51910	Gene_Upstream	-3117
Chr3	22993574	22993673	AT3G62097	Gene_Downstream	648
Chr3	1999459	1999580	AT3G06490	Gene_Upstream	-3874
Chr3	21378868	21379078	AT3G57680	Gene_Upstream	-2081
Chr3	15834996	15835155	AT3G44080	Gene_Downstream	557
Chr3	8769713	8769825	AT3G24225	Gene_Downstream	597
Chr3	8245750	8246011	AT3G23130	Gene_Downstream	2508
Chr3	4119051	4119119	AT3G12920	Gene_Downstream	2798
Chr3	10128467	10128561	AT3G27360	Gene_Downstream	591
Chr3	19545720	19545833	AT3G52740	Gene_Downstream	598
Chr3	10952557	10952826	AT3G28925	Gene_Upstream	-5196
Chr3	20857044	20857322	AT3G56210	Gene_Upstream	-1573
Chr3	15270520	15270714	AT3G43340	Gene_Downstream	14244
Chr3	10055718	10055821	AT3G27230	Gene_Downstream	74
Chr3	21408678	21408800	AT3G57790	Gene_Upstream	-1115
Chr3	23363759	23363875	AT3G63233	Gene_Upstream	-2128
Chr3	22175716	22175797	AT3G60040	Gene_Downstream	181
Chr3	8336537	8336691	AT3G23310	Gene_Upstream	-2286
Chr3	1432933	1433071	AT3G05130	Gene_Downstream	473
Chr3	16705437	16705484	AT3G45530	Gene_Upstream	-2094
Chr3	18505744	18505850	AT3G49910	Gene_Downstream	830
Chr3	22327197	22327232	AT3G60400	Gene_Upstream	-1878
Chr3	23424079	23424177	AT3G63440	Gene_Upstream	-29
Chr3	11655996	11656064	AT3G29770	Gene_Downstream	5191
Chr3	11081020	11081382	AT3G29100	Gene_Upstream	-3661
Chr3	18821033	18821177	AT3G50660	Gene_Upstream	-3861
Chr3	21027886	21028095	AT3G56770	Gene_Downstream	1212
Chr3	11967393	11967460	AT3G30370	Gene_Upstream	-1707
Chr3	11096393	11096546	AT3G29130	Gene_Downstream	5803
Chr3	20908734	20908915	AT3G56390	Gene_Downstream	1127
Chr3	5519801	5519898	AT3G16280	Gene_Downstream	603
Chr3	18051731	18051831	AT3G48730	Gene_Downstream	79
Chr3	3777730	3777889	AT3G11930	Gene_Downstream	115
Chr3	20520855	20520942	AT3G55360	Gene_Downstream	32
Chr3	6785155	6785362	AT3G19550	Gene_Downstream	1983
Chr3	8986039	8986283	AT3G24630	Gene_Upstream	-1894
Chr3	3292508	3292913	AT3G10540	Gene_Downstream	8
Chr3	3262224	3262266	AT3G10470	Gene_Downstream	391
Chr3	19616705	19616918	AT3G52905	Gene_Upstream	-1066
Chr3	4981168	4981227	AT3G14830	Gene_Upstream	-1746
Chr3	16424919	16424972	AT3G44960	Gene_Upstream	-2850
Chr3	10413013	10413139	AT3G28007	Gene_Upstream	-3331
Chr3	4623424	4623587	AT3G13980	Gene_Upstream	-3243
Chr3	9720851	9721124	AT3G26520	Gene_Downstream	1456
Chr3	21504871	21505043	AT3G58070	Gene_Downstream	1656
Chr3	18788839	18788981	AT3G50620	Gene_Upstream	-1996
Chr3	19807982	19808029	AT3G53420	Gene_Upstream	-2292
Chr3	8875920	8875982	AT3G24440	Gene_Downstream	76
Chr3	19748765	19749172	AT3G53260	Gene_Upstream	-2188
Chr3	16739143	16739279	AT3G45610	Gene_Downstream	78
Chr3	6437295	6437475	AT3G18710	Gene_Upstream	-1824
Chr3	9721230	9721543	AT3G26520	Gene_Downstream	1057
Chr3	8465787	8465963	AT3G23590	Gene_Upstream	-1574
Chr3	16421541	16421671	AT3G44950	Gene_Downstream	320
Chr3	8721247	8721435	AT3G24140	Gene_Upstream	-3130
Chr3	19383086	19383190	AT3G52260	Gene_Downstream	128
Chr3	7215478	7215712	AT3G20640	Gene_Upstream	-2296
Chr3	18166606	18166817	AT3G49010	Gene_Downstream	58
Chr3	8631038	8631622	AT3G23900	Gene_Downstream	254
Chr3	21107380	21107448	AT3G57040	Gene_Upstream	-2200
